Title,Address,Price,Cuisine,Badge Text,Description,Services,Map Iframe URL,Phone,Website,google_name,google_address,maps_url,rating,user_ratings_count,phone,website,price_level,latitude,longitude,distance_meters
Sang Kee Foods (Western District),"Shop 4, GF, Wo Yick Mansion, 263 Queen's Road West, Sai Ying Pun, Hong Kong, Hong Kong SAR China",$,Street Food,"Bib Gourmand: good quality, good value cooking","Come to this place with a nose-to-tail concept for Chiuchow-style marinated goose. Made with grain-fed goose from Chiuchow, it boasts a firm texture and meaty flavour. Try the goose blood curd, web, wing, liver, intestine and gizzard, too.",Credit cards accepted,,+852 2547 4035,,Wo Yick Mansion,"263號 Queen's Rd W, Sai Ying Pun, Hong Kong",https://maps.google.com/?cid=945738095688210764,3,7,,https://www.spacious.hk/en/hong-kong/sai-ying-pun/wo-yick-mansion-31d78955-1d71-43e8-9828-fe1499e9bec6,,22.2870024,114.14316459999999,
Keung Kee,"406 Lockhart Road, Wan Chai, Hong Kong, Hong Kong SAR China",$,Street Food,Street food,"After moving to this new spot, this simple shop boasts better comfort and a bigger menu. But signatures like glutinous rice with preserved meat, wok-fried rice rolls, and pork bone congee remain as tasty as ever.","Air conditioning
                                

                                    Cash only",,+852 2572 5207,,Keung Kee,"Hong Kong, Wan Chai, Lockhart Rd, 406號號地下",https://maps.google.com/?cid=10362341675027370671,3.9,851,+852 2572 5207,https://www.facebook.com/keungkee1951/,PRICE_LEVEL_INEXPENSIVE,22.2796031,114.1804413,
Seventh Son (Wan Chai),"3F, The Wharney Hotel, 57-73 Lockhart Road, Wan Chai, Hong Kong, Hong Kong SAR China",$$,Cantonese,One Star: High quality cooking,"The name refers to the owner – the seventh son who learned his culinary skills from his father from the age of 14. The must-try barbecue meats include roast suckling pig which is smoky and rich. The skills of the kitchen team are manifest in traditional dishes like deep-fried egg custard with chicken kidney, and steamed beef patty with dried tangerine peel. The smart room comes complete with teak floors, gold accents and warm lighting.","Air conditioning
                                

                                    Car park
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2892 2888,https://www.seventhson.hk,家全七福酒家 Seventh Son Restaurant,"57-73 Lockhart Rd, Wan Chai, Hong Kong",https://maps.google.com/?cid=10856648065499968208,4.1,345,+852 2892 2888,http://www.seventhson.hk/,,22.278359,114.17096699999999,
Tin Hung,"Shop D, GF, Yan Yee Building, 88 Kin Yip Street, Yuen Long, Hong Kong, Hong Kong SAR China",$$,Cantonese Roast Meats,"Bib Gourmand: good quality, good value cooking","Popular with locals since 2001, this shop sells its signature roast goose in specific cuts, halves or whole. Geese are shipped from Foshan daily, marinated, roasted to perfection, and served piping hot. Other standouts include honey-glazed char siu, roast duck and drunken chicken. Those looking to pair the meats with a local drink should try their herbal tea. Given the reasonable prices and limited seats, it makes sense to arrive early.","Air conditioning
                                

                                    Cash only",,+852 2474 8849,,Tin Hung Roast Goose Restaurant,"88 Kin Yip St, Yuen Long, Hong Kong",https://maps.google.com/?cid=1476684792765073005,3.8,649,+852 2474 8849,,PRICE_LEVEL_MODERATE,22.442422399999998,114.0314021,
Ta Vie,"2F, The Pottinger Hotel, 21 Stanley Street, Central, Hong Kong",$$$$,Innovative,Three Stars: Exceptional cuisine,"The mantra of chef Hideaki Sato is “pure, simple and seasonal”. His passion for cooking and his experimental approach on food combinations are evidenced by his original and extraordinary creations made with top-notch ingredients mostly from his native Japan. The tasting menu is highly season-driven; sourdough and cultured butter made daily in-house are simply addictive. The wine list features interesting Asian vintages as well as sake and adds to the memorable experience.","Air conditioning
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2668 6488,https://www.tavie.com.hk,The Pottinger Hong Kong,"74 Queen's Road Central (Hotel main entrance:, 21 Stanley St, Central, Hong Kong",https://maps.google.com/?cid=9975314709885640242,4.4,280,+852 2308 3188,https://www.sino-hotels.com/en/hk/the-pottinger-hong-kong,,22.282840099999998,114.15538939999999,
Tak Kee,"Shop G, 3 Belcher's Street, Western District, Hong Kong",$$,Chiu Chow,"Bib Gourmand: good quality, good value cooking","It started out as a street-side hawker stall in the 1990s and still retains the casual, vibrant vibe. The second-generation hands-on owner shops for groceries every day and sometimes helps the experienced chefs with kitchen chores. Pork tripe and peppercorn soup is a culinary highlight, using peppers from Malaysia and Indonesia. Regulars also come for its spiced marinated goose liver, crispy chitterlings stuffed with glutinous rice and oyster omelette.","Air conditioning
                                





                                Credit cards accepted",,+852 2819 5568,,Tak Kee Chiu Chou Restaurant,"Hong Kong, Kennedy Town, Belcher's St, 3號, Whitty Building, G益豐 西環",https://maps.google.com/?cid=16930534385739262140,3.9,1685,+852 2819 5568,https://www.facebook.com/pages/category/Cantonese-Restaurant/%E5%BE%B7%E8%A8%98%E6%BD%AE%E5%B7%9E%E8%8F%9C%E9%A4%A8-387373384763439/,PRICE_LEVEL_MODERATE,22.285553000000004,114.1323013,
Sushi Saito,"45F, Four Seasons Hotel, 8 Finance Street, Central, Hong Kong",$$$$,Sushi,One Star: High quality cooking,"Supervised and managed by famed Chef Takashi Saito, the team masterfully crafts Edomae-style sushi using the best seasonal seafood. Rice from Akita and Nagano is cooked in spring water from Kagoshima and dressed in a special vinegar blend. But before you get to taste these divine creations at the cypress counter, you must first get a seat, which are always hard to come by – the reservation hotline only works during specific days and times.","Air conditioning
                                

                                    Car park
                                

                                    Counter dining
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2527 0811,https://globallink.com.hk/our-brands/sushi-saito/,Sushi Saito,"45th Floor, Four Seasons Hotel Hong Kong, 8 Finance St, Central, Hong Kong",https://maps.google.com/?cid=14792311629313876979,4.7,104,+852 2527 0811,https://www.fourseasons.com/hongkong/dining/restaurants/sushi-saito/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-hkg-fab-mid-seo-na&utm_content=na-na&utm_term=na,PRICE_LEVEL_VERY_EXPENSIVE,22.2866954,114.1566925,
Liu Yuan Pavilion,"3F, The Broadway, 54-62 Lockhart Road, Wan Chai, Hong Kong, Hong Kong SAR China",$$,Shanghainese,One Star: High quality cooking,"With its authentic Shanghainese cooking and Shanghainese-speaking clientele, it’s tempting to think you’re in Shanghai. The dining room impresses with understated elegance and the booth seats offering more privacy are especially prized. Specialities include drunken squab whose velvety meat and springy skin exude an intoxicating winey aroma. Stir-fried shrimps, braised pig knuckle and braised ‘lion head’ meatballs are also not to be missed.","Air conditioning
                                

                                    Valet parking
                                





                                Credit cards accepted",,+852 2804 2000,,Liu Yuan Pavilion,"3F, The Broadway, 54-62 Lockhart Rd, Wan Chai, Hong Kong",https://maps.google.com/?cid=14586684330733887484,4.1,335,+852 2804 2000,,PRICE_LEVEL_EXPENSIVE,22.2780696,114.17086839999999,
Ho To Tai,"67 Fau Tsoi Street, Yuen Long, Hong Kong, Hong Kong SAR China",$,Noodles,"Bib Gourmand: good quality, good value cooking","Traditional shops that make their own noodles from scratch are hard to come by. Founded in 1946, this household name is among the remaining few. Though the nostalgic two-storey shop draws a crowd with its signature wonton soup, zhajiang noodles and beef brisket noodle soup are also popular. Try braised white radish with shrimp roe for the deep umami and briny-sweetness. The owner also runs a dried noodle factory with retail outlets all over town.","Air conditioning
                                

                                    Cash only",,+852 2476 2495,,Ho To Tai Noodle Shop,"67號 Fau Tsoi St, Yuen Long, Hong Kong",https://maps.google.com/?cid=15607926345379243591,3.7,1065,+852 2476 2495,http://www.noodles.com.hk/,,22.4436911,114.0292302,
Hansik Goo,"1F, The Wellington, 198 Wellington Street, Central, Hong Kong, Hong Kong SAR China",$$$$,Korean,One Star: High quality cooking,"‘Hansik’ means Korean food and ‘goo’ refers to Chef Mingoo Kang. But ‘sikgoo’ also means family, resonating with its home-style food meant for sharing. It moved to this spot in 2021, serving just one tasting menu alongside add-on choices; the creative courses are inspired by a wide range of Korean cooking. The all-time favourite samgye risotto gets a makeover – chicken roll filled with mushroom mousse is deep-fried and served with ginseng rice.","Air conditioning
                                

                                    Interesting wine list
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2798 8768,http://www.hansikgoo.hk,The Wellington,"198 Wellington St, Central, Hong Kong",https://maps.google.com/?cid=7769749990093924357,3.6,41,,,,22.2849134,114.152875,
Belon,"1F, 1-5 Elgin Street, Central, Hong Kong, Hong Kong SAR China",$$$$,French Contemporary,One Star: High quality cooking,"Belon moved to this spot in 2021, with a room that sports more drama and sophistication than its original Parisian bistro vibe. With Chef Kirkley at the helm, the menu offers popular dishes such as whole roasted chicken, alongside reimagined crowd-pleasers and novel creations. Dishes are rooted in French techniques and made with the best seasonal produce. Consider reserving the kitchen counter and prepay for the curated menu for four.","Air conditioning
                                

                                    Counter dining
                                

                                    Interesting wine list
                                





                                Credit cards accepted",,+852 2152 2872,https://belonsoho.com,BELON,"1st Floor, 1-5 Elgin St, Central, Hong Kong",https://maps.google.com/?cid=5152710039634143784,4.5,320,+852 2152 2872,http://belonsoho.com/,PRICE_LEVEL_VERY_EXPENSIVE,22.283015799999998,114.1524584,
Gaddi's,"1F, The Peninsula Hotel, Salisbury Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China",$$$$,French,One Star: High quality cooking,"This grand restaurant opened in 1953 and now occupies what was once The Peninsula’s ballroom – it even has its own dedicated entrance on Nathan Road. The well-versed team looks after the guests so well here you may find yourself loathed to leave. Top quality European and Japanese produce is well prepared in a modern French style. Dishes such as blue Brittany lobster with Romesco sauce are not to be missed. For those wanting something a little different, book the Chef’s Table in the kitchen.","Air conditioning
                                

                                    Car park
                                

                                    Interesting wine list
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2696 6763,https://www.peninsula.com/en/hong-kong/hotel-fine-dining/gaddis-french-restaurant,Gaddi's,"Hong Kong, Tsim Sha Tsui, 尖沙咀彌敦道19-21號半島酒店1樓",https://maps.google.com/?cid=15606698804658394833,4.5,311,+852 2696 6763,https://www.peninsula.com/zh/hong-kong/hotel-fine-dining/gaddis-french-restaurant,,22.2950649,114.1718001,
Mandarin Grill + Bar,"1F, Mandarin Oriental Hotel, 5 Connaught Road Central, Central, Hong Kong, Hong Kong SAR China",$$$$,European Contemporary,One Star: High quality cooking,"This stylish room designed by the late Sir Terence Conran features a glass-fronted kitchen and fan-shaped reliefs on the ceiling, reminiscent of the hotel’s logo. The well-verse team puts a new spin on steakhouse classics like steak tartare and house-smoked salmon. Quality meat cuts from the U.S., Australia and Japan are grilled to perfection and guests can choose a starter and a dessert from the menu on top of their mains to make it a set meal.","Air conditioning
                                

                                    Counter dining
                                

                                    Interesting wine list
                                

                                    Restaurant offering vegetarian menus
                                

                                    Valet parking
                                

                                    Wheelchair access
                                





                                Credit cards accepted",,+852 2825 4004,https://www.mandarinoriental.com/en/hong-kong/victoria-harbour/dine/mandarin-grill-and-bar,Mandarin Grill + Bar,"1/F, Mandarin Oriental Hong Kong, 5 Connaught Rd Central, Central, Hong Kong",https://maps.google.com/?cid=17849483193626911479,4.6,389,+852 2825 4004,https://www.mandarinoriental.com/hong-kong/victoria-harbour/fine-dining/restaurants/european-cuisine/mandarin-grill-and-bar?htl=MOHKG&kw=MOHKG_grill&eng=google&src=local,,22.281928,114.159408,
