page,season,episode,episode_title,category,name,address,note
australia-episode.html,5,12,Australia,restaurant,Istanbul Halal Meats,"609 Sydney Rd., Brunswick, VIC 3056, Australia","Plenty of cured dried meats, Bastourma."
australia-episode.html,5,12,Australia,restaurant,Half Moon,"120 Church St., Brighton, VIC 3186, Australia","A one of a kind, seven course meal."
azores-episode.html,5,4,Azores,hotel,L'Escale de L'Atlantic,"Morro de Baixo, 9930 212 Piedade, Pico, Portugal",Beautiful location for a relaxed stay.
azores-episode.html,5,4,Azores,activity,Geyers & Mineral Waters,"Rua dos Moinhos, 24 - Furnas, Sao Miguel Island",Explore ancient healing mineral waters.
azores-episode.html,5,4,Azores,restaurant,Peter's Cafe Sport,"Tenente Valadim, 9 9900-027 Horta, Faial Island",Try the world famous octopus stew.
azores-episode.html,5,4,Azores,restaurant,Pasto Do For,"Caminho de Concelho, 143, Sao Miguel Island",Order the tripe and have some wine.
azores-episode.html,5,4,Azores,restaurant,Casa do Cha,"Rua de Sao Bento, Horta, Faial Island, Portugal",Have some herbal tea at this cafe.
azores-episode.html,5,4,Azores,restaurant,Rotas da Ilha Verde,"Rua de Pedro Homen #49, Sao Miguel 9500-055",Romantic places with vegetarian cuisine.
back-to-beirut-episode.html,6,21,Beirut,hotel,Le Royal Hotel,"Leisure Hills Complex, Dbayeh, Beirut 2501-1305, Lebanon",Good location and serves drinks at the bar.
back-to-beirut-episode.html,6,21,Beirut,activity,Fern Al Zahraa,"Damascus Highway Rd., Baalbek, Lebanon",Great location for butchers and shops.
back-to-beirut-episode.html,6,21,Beirut,restaurant,M. Sahyoun Falafel,"Rue De Damas, Beirut",Considered the best Falafel in the region.
back-to-beirut-episode.html,6,21,Beirut,restaurant,Dragonfly Bar,"Gouraud St., Gemayze, Beirut","Fun and lively bar, have a drink."
back-to-beirut-episode.html,6,21,Beirut,restaurant,Restaurant Onno,"Aghabios St., Bourj Hammoud, Beirut",Delicious Lebanese Armenian dishes.
back-to-beirut-episode.html,6,21,Beirut,restaurant,Le Chef Restaurant,"Gouraud St., Gemayze, Beirut",Good choices of meal served fresh.
back-to-beirut-episode.html,6,21,Beirut,restaurant,Chez Maguy,"Makaad el Mir Batroun, Lebanon",Hidden gem that serves seafood cuisine.
back-to-beirut-episode.html,6,21,Beirut,restaurant,Tawlet Restaurant el Tayeb,"Beirut, sector 79, Naher st 12, Beirut, Lebanon",Wonderful spot to enjoy a good brunch.
baja-episode.html,8,7,Baja,hotel,Sirena Del Mar,"Cabo Bello, Cabo San Lucas, BCS 23410",Perfect pit stop on your adventures in Mexico.
baja-episode.html,8,7,Baja,activity,Terraza Vallarta,"Avenida del Pacifico 343, Tijuana, Baja California, Mexico",Around 100 yards of the US/Mexico border.
baja-episode.html,8,7,Baja,restaurant,Mision 19,"Mision de San Javier 10643, Zona Urbana Rio Tijuana, Tijuana, B.C. Mexico C.P. 22010",Tasty Mediterranean dishes to choose from.
baja-episode.html,8,7,Baja,restaurant,Restaurante Manzanilla,"Boulevard Teniente Azueta 139, Recinto Portuario, 22800 Ensenada, Baja California, Mexico",Some of the newest and trendiest dishes.
baja-episode.html,8,7,Baja,restaurant,Corazon de Tierra,"La Villa del Valle, Ensenada, Baja California, Mexico","Located at a winery, so drink up."
baja-episode.html,8,7,Baja,restaurant,Las Ahumaderas Taco El Paisa,"Guillermo Prieto 9770, Tijuana, Baja California, Mexico","Amazing choice of fresh, local tacos."
berlin-episode.html,4,2,Berlin,hotel,Berlin Wall,"Bernauer Strabe 111, 13355 Berlin, Germany",Historical site of the Communist era.
berlin-episode.html,4,2,Berlin,restaurant,Rogacki Gourmet Deli,"Wilmersdorfer Str.145/46, 10585 Berlin-Charlottenburg",Enjoy the basics of meat and potatoes!
berlin-episode.html,4,2,Berlin,restaurant,Konnopke's Imbiss,"Schonhauser Allee 44a, Berlin 13158, Germany",Enjoy some fries with traditional currywurst
berlin-episode.html,4,2,Berlin,restaurant,Prater Garden,"Kastanienallee 7-9, 10435 Berlin, Germany",Some of the best schnitzel you'll have.
berlin-episode.html,4,2,Berlin,restaurant,Hasir Kreuzberg,"Adalbertstrasse 10, 10999 Berlin, Germany","Order the pita wrapped Kabob, delicious!"
boston-episode.html,7,7,Boston,hotel,Boston Harbor Hotel,"70 Rowes Wharf, Boston, MA 02110",Outstanding hotel with amazing harbor views.
boston-episode.html,7,7,Boston,activity,South Boston Candlepin,"543 E Broadway, Boston, MA 02127","Try the sport of New England bowling, since the 50's."
boston-episode.html,7,7,Boston,restaurant,Belle Isle Lobster & Seafood,"1267 Saratoga St, Boston, MA 02128",Great fish spot with amazing freshness.
boston-episode.html,7,7,Boston,restaurant,The Snack Bar,"691 Cambridge St, Cambridge, MA 02141",Delicious Portuguese cuisine and pizza!
boston-episode.html,7,7,Boston,restaurant,Greenhills Bakery,"780 Adams St, Dorchester Ctr, MA 02122",Experience an authentic Irish style breakfast.
boston-episode.html,7,7,Boston,restaurant,Eire Pub,"795 Adams St, Dorchester Center, MA 02124",Perfect bar to grab a drink and let loose.
brazil-episode.html,,,Brazil,hotel,Grand Hyatt Sao Paolo,"Avenida das Nacoes Unidas, 13.301, Sao Paulo, SP, 04578-000",Spoil yourself with this comfortable location.
brazil-episode.html,,,Brazil,activity,Christ the Redeemer statue,"Rio de Janeiro, Brazil",Reach it by climbing Corcovado mountain.
brazil-episode.html,,,Brazil,restaurant,Bar Do Mane,"R. da Cantareira, 306 E4, 01024-000, Brazil",We suggest the Mortadella sandwich!
brazil-episode.html,,,Brazil,restaurant,Boteco Bar,"Rua Faustolo 463 Lapa, Sao Paulo",Great place to get some local drinks.
brazil-episode.html,,,Brazil,restaurant,Bar de Santa,Alameda Joaquim Eugenio de Lima 1417,Wake up and grab your authentics breakfast.
brazil-episode.html,,,Brazil,restaurant,Restaurante Dom Antonio,"Av. Manoel Ribas, 6121, Curitiba - PR, 82400-000, Brazil",Bring your friends and make new ones here.
brazil-episode.html,,,Brazil,restaurant,Tacaca da Duque,"Av. Duque de Caxias, 994-1132, Marco, 66093-400, Brazil","Amazonian culinary at its best, Manicoba."
brazil-episode.html,,,Brazil,restaurant,Ver-O-Peso Fish Market,"Av. Portugal, 266-328, Campina, 66015-190, Brazil",Best place to buy fresh fish such as Filhote.
brittany-episode.html,6,3,Brittany,hotel,Hotel Ambassadeurs,"11 Chaussee Du Sillon, 35400 Saint-Malo, France","Fast and friendly service, good location."
brittany-episode.html,6,3,Brittany,activity,Anne de Belon,"29340 Riec-sur-Belon, France",Visit a family run oyster farm - insightful.
brittany-episode.html,6,3,Brittany,restaurant,Boutique de Pont-Aven,"2-10 Place Paul Gauguin, 29930 Pont-Aven, France","Some delicious sardines, try them."
brittany-episode.html,6,3,Brittany,restaurant,Chateau Richeux,"D155 Rue du Mont Saint-Michel, 35350 Saint-Meloir-des-Ondes, France",Some excellent food choices available.
brittany-episode.html,6,3,Brittany,restaurant,Chez Jacky,"Port du Belon, 29340, Riec-sur-Belon, France","Huge seafood platter, made for two."
brittany-episode.html,6,3,Brittany,restaurant,Le Bistro du Marin,"1 Rue de la Tour | St Brieuc, Plerin, France","Wonderful, authentic French bistro."
brooklyn-episode.html,8,18,Brooklyn,hotel,NU Hotel,"85 Smith St, Brooklyn, NY 11201",Adorable and well situated hotel for your stay.
brooklyn-episode.html,8,18,Brooklyn,activity,Coney Island,"1208 Surf Ave, New York, NY 11224","Famous landmark amusement part, have some fun."
brooklyn-episode.html,8,18,Brooklyn,restaurant,Blanca,"261 Moore St, Brooklyn, NY 11206",Great spot for some local lunch items.
brooklyn-episode.html,8,18,Brooklyn,restaurant,Chef's Table at Brooklyn Fare,"200 Schermerhorn St, Brooklyn, NY 11201",Only Michelin-star restaurant in Brooklyn.
brooklyn-episode.html,8,18,Brooklyn,restaurant,Georgian Bread,"265 Neptune Ave, Brooklyn, NY 11235","Try the Russian spin on pizza, khachapuri."
brooklyn-episode.html,8,18,Brooklyn,restaurant,Gloria's,"764 Nostrand Ave, Brooklyn, NY 11216",Full menu that will please any visitor.
brooklyn-episode.html,8,18,Brooklyn,restaurant,Pok Pok NY,"127 Columbia St, Brooklyn, NY 11231",Thai restaurant with authentic cuisine.
brooklyn-episode.html,8,18,Brooklyn,restaurant,Primorski Restaurant,"282 Brighton Beach Ave, Brooklyn, NY 11235",Serving beach bums for over 20 years.
brooklyn-episode.html,8,18,Brooklyn,restaurant,Randazzo's Clam Bar,"2017 Emmons Ave, Brooklyn, NY 11235",Italian style seafood creations.
brooklyn-episode.html,8,18,Brooklyn,restaurant,Sunny's Bar,"253 Conover St, Brooklyn, NY 11231",Historical bar which opened in the 1890's.
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",hotel,Mansion on Delaware,"414 Delaware Ave., Buffalo, NY 14202","This hotel has charm and history, see it."
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",activity,Cadieux Cafe,"4300 Cadieux Rd., Detroit, MI 48224",Participate in the sport of feather bowling.
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",restaurant,Ulrich's,"674 Ellicott St., Buffalo, NY 14203","Historical tavern, grab the liver dumpling soup."
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",restaurant,Schwabl's,"789 Center Rd., West Seneca, NY 14224",The beef on weck sandwich is wonderful.
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",restaurant,Polonia Polish Restaurant,"2934 Yemans St., Hamtramck, MI 48212",Some of the best Authentic Polish dishes.
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",restaurant,Al-Ameer Restaurant,"12710 W Warren Ave., Dearborn, MI 48126","Charming middle eastern eatery, good."
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",restaurant,Mo's Seafood,"502 Albemarle St., Baltimore, MD 21202","Fantastic, fresh seafood selections."
buffalo-baltimore-detroit-episode.html,5,13,"Buffalo, Baltimore & Detroit",restaurant,Chaps Pit Beef,"5801 Pulaski Hwy., Baltimore, MD 21205",Some of the best BBQ in the nation.
burgundy-episode.html,8,13,Burgundy,hotel,Hotel Le Maxime,"2 Quai de la Marine, 89000 Auxerre, France",Great location to make your daily trips from.
burgundy-episode.html,8,13,Burgundy,activity,Patrick Picard Butcher Shop,"64 Rue Joubert, 89000 Auxerre, France",Stop by early in the day for the best picks.
burgundy-episode.html,8,13,Burgundy,restaurant,L'Esperance,"22 Grande Rue, 89450 Saint-Pere, France","Good spot to grab a meal, especially lunch."
burgundy-episode.html,8,13,Burgundy,restaurant,Maison Paillot,"14 Place de l'Hôtel de Ville, 89310 Noyers-sur-Serein","Family run restaurant, excellent choices."
burgundy-episode.html,8,13,Burgundy,restaurant,Caves Madeleine,"8 Rue du Faubourg Madeleine, 21200 Beaune, France",Local spot to enjoy a freshly prepared meal.
burgundy-episode.html,8,13,Burgundy,restaurant,Le Rendez-Vous Restaurant,"37 Rue Pont, 89000 Auxerre, France",The place Anthony Bourdain trained as a chef!
burgundy-episode.html,8,13,Burgundy,restaurant,Au Petit Calin,"4 Grande Rue, 89160 Pacy-sur-Armancon, France","Order the beef fondue, it's a specialty."
burgundy-episode.html,8,13,Burgundy,restaurant,Le Relais des Grands Crus,"71 Route Nationale, Morey-Saint-Denis",Local truck stop serving up the goodness!
cajun-country-episode.html,7,16,Cajun Country,hotel,Maison Madeleine,"1015 John D. Hebert Dr, Breaux Bridge, LA 70517",Wonderful Creole Cottage for your stay.
cajun-country-episode.html,7,16,Cajun Country,activity,Lakeview Park,"1717 Veterans Memorial Hwy, Eunice, LA 70535","Explore this Eunice park, great views."
cajun-country-episode.html,7,16,Cajun Country,restaurant,Domilise's Sandwich Shop,"5240 Annunciation St., New Orleans, LA 70115","Great assortment, try the po' boy!"
cajun-country-episode.html,7,16,Cajun Country,restaurant,Ms. Linda's Soul Food Catering Co.,"New Orleans, LA",World famous for their Yakamein soup.
cajun-country-episode.html,7,16,Cajun Country,restaurant,"P&J Oyster Company, Inc.","1039 Toulouse St, New Orleans, LA 70112","In business over 140 year, amazing place."
cajun-country-episode.html,7,16,Cajun Country,restaurant,Nor-Joe Importing Co.,"505 Frisco Ave, Metairie, LA 70005",Top choice for ordering some muffalettas!
cajun-country-episode.html,7,16,Cajun Country,restaurant,Poche's Market,"3015 Main Hwy, Breaux Bridge, LA 70517","Try the cracklings, crawfish etouffee & more."
cajun-country-episode.html,7,16,Cajun Country,restaurant,Daiquiri Bay Cafe,"1001 Veterans Memorial Blvd, Metairie, LA 70005","Unique drive-thru experience, worth it."
cajun-country-episode.html,7,16,Cajun Country,restaurant,Willie Mae's Scotch House,"2401 St Ann St, New Orleans, LA 70119",The only place for authentic fried chicken.
cajun-country-episode.html,7,16,Cajun Country,restaurant,Glenda's Creole Kitchen,"3233 Main Hwy, Breaux Bridge, LA 70517",Great menu includes stuffed turkey legs.
cambodia-episode.html,7,2,Cambodia,hotel,Pavillon d'Orient Boutique-Hotel,"Road no 60, Siem Reap, Cambodia",Magical city.. great place to call home.
cambodia-episode.html,7,2,Cambodia,activity,Crab Market,"Kep, Cambodia",Famous and exciting fresh seafood market.
cambodia-episode.html,7,2,Cambodia,restaurant,Maxine's,"Tonle Sap Rd, Chroy Changva, Phnom Penh, Cambodia",Great bar with the perfect atmosphere.
cambodia-episode.html,7,2,Cambodia,restaurant,Ry Restaurant,"4 and 5, St 13 Sangkat Phsar Kandal, Phnom Penh, Cambodia",The one and only place to get Rib-Eye!
cambodia-episode.html,7,2,Cambodia,restaurant,Orussey Restaurant,"#42EO, St 182, Phnom Penh, Cambodia",Grab a bowl of noodle soup with meatballs.
cambodia-episode.html,7,2,Cambodia,restaurant,Ta Eou Restaurant,"Kampot, Cambodia",Great selection of fresh seafood dishes.
caribbean-island-hopping-episode.html,6,14,Caribbean Island Hopping,hotel,Petite Saint Vincent Resort,St Vincent and the Grenadines,Amazing small romantic cottages.
caribbean-island-hopping-episode.html,6,14,Caribbean Island Hopping,activity,Manicou Hunt,"Bequia, Saint Vincent and the Grenadines",Take this hunting expedition.
caribbean-island-hopping-episode.html,6,14,Caribbean Island Hopping,restaurant,L'Auberge de Grenadines,"Bequia, Saint Vincent and the Grenadines",We suggest the conch gratin tart.
caribbean-island-hopping-episode.html,6,14,Caribbean Island Hopping,restaurant,Tante Pearl,"Bequia, Saint Vincent and the Grenadines",Wash it down with Tante Pearls Viagra cocktail.
caribbean-island-hopping-episode.html,6,14,Caribbean Island Hopping,restaurant,Earl's Rum Shop,"Kingstown, Saint Vincent and Grenadines",Grill up some freshly caught seafoods.
caribbean-island-hopping-episode.html,6,14,Caribbean Island Hopping,restaurant,Chatham Bay,"Union Island, Saint Vincent and Grenadines",Have an amazing meal on this remote beach.
chicago-episode.html,5,5,Chicago,hotel,Hotel Sax Chicago,"333 N Dearborn St, Chicago, IL 60654",Trendy and chic hotel right downtown.
chicago-episode.html,5,5,Chicago,activity,Millennium Park,"201 E Randolph St, Chicago, IL 60602","Historical walk, ice rinks and more."
chicago-episode.html,5,5,Chicago,restaurant,Silver Palm Restaurant,"768 N. Milwaukee Ave., Chicago, IL 60622",Great gigantic pork sandwiches.
chicago-episode.html,5,5,Chicago,restaurant,Tom Tom Tamales and Bakery,"4750 S Washtenaw Ave., Chicago Il 60632",Serving sweets since the mid 1930s.
chicago-episode.html,5,5,Chicago,restaurant,Calumet Fisheries,"3259 East 95th St., Chicago, IL 60617",Smoked fish unlike anywhere else.
chicago-episode.html,5,5,Chicago,restaurant,Moto Restaurant,"945 W Fulton Market, Chicago, IL 60607",New age twist on classic dishes.
chile-episode.html,5,11,Chile,hotel,Grand Hyatt Santiago,"Av. Kennedy 4601, Santiago, Chile",This hotel will not disappoint you!
chile-episode.html,5,11,Chile,activity,Cliffs Preserve,"Decher 450, Of. 4, Puerto Varas, X Region Chile",Location where continent breaks to archipelago.
chile-episode.html,5,11,Chile,restaurant,Bar La Playa,"Serrano, 567, Valparaiso, Chile",100 year old bar with good drink selection.
chile-episode.html,5,11,Chile,restaurant,Donde el Gordito,"San Bernardo #560, Puerto Varas, Chile",Seafood choices such as King Crab & Sea Bass.
chile-episode.html,5,11,Chile,restaurant,El Hoyo,"San Vicente 357, Santiago, Chile",Roased pig shoulder with Terremoto (drink).
chile-episode.html,5,11,Chile,restaurant,Don Vittorio,"Mercado Puerto 2, Piso Local N? 51, Valparaiso, Chile",Century old market - plenty of food choices.
cleveland-episode.html,3,11,Cleveland,hotel,The Ritz Carlton,"1515 W. Third Street, Cleveland, OH 44113","Class and luxury under one roof, here!"
cleveland-episode.html,3,11,Cleveland,activity,West Side Market,"Corner of W 25th St. and Lorain Ave., Cleveland, OH",This market has been open since 2014!
cleveland-episode.html,3,11,Cleveland,restaurant,Sausage Shoppe,"4501 Memphis Ave., Cleveland, OH 44144",Eat some amazing old-fashioned sausages.
cleveland-episode.html,3,11,Cleveland,restaurant,Lola,"2058 E 4th St., Cleveland, OH 44115","Amazing pierogies, pig's feet and much more."
cleveland-episode.html,3,11,Cleveland,restaurant,Skyline Chili Restaurant,"5706 Mayfield Road, Lyndhurst, OH 44124",Tony loved the authentic Three Way Chili!
cleveland-episode.html,3,11,Cleveland,restaurant,Sokolowski's University Inn,"1201 University Road, Cleveland, OH 44102",Plenty of amazing Polish dishes to try.
colombia-episode.html,4,12,Colombia,hotel,Hotel Casa Quero,"Calle Quero No.9-53, Cartegena de Indias, Ciudad Amurallada",A rare find and exceptional location.
colombia-episode.html,4,12,Colombia,activity,Medellin Metrocable,"Medellin, Colombia",Fun and exciting form of transportation.
colombia-episode.html,4,12,Colombia,restaurant,Basurto Market,"Basurto Market, Cartagena, Colombia",Open market that carries icotea turtle eggs.
colombia-episode.html,4,12,Colombia,restaurant,La Cevicheria,"Calle Stuart 7-14, Cartagena, Colombia",Some of the best Caribbean cuisine.
colombia-episode.html,4,12,Colombia,restaurant,Ah! Que Ricura,"1 Plaza Minorista, Medellin, Colombia",This is the best place to get breakfast.
colombia-episode.html,4,12,Colombia,restaurant,La Queareparaenamorarte,"Partidas de la Fe el Retiro Antioquia, Medellin, Colombia",Eat like a genuine Colombian does.
croatian-coast-episode.html,8,3,Croatian Coast,hotel,Hotel Bastion,"Bedemi zadarskih pobuna 13, 23000, Zadar, Croatia","Wonderful, cozy boutique style hotel."
croatian-coast-episode.html,8,3,Croatian Coast,activity,Kali Tuna D.O.O.,"110 23275, Preko, Croatia",Full tuna fishing experience here.
croatian-coast-episode.html,8,3,Croatian Coast,restaurant,Wine Vault Restaurant,"A. Smareglie bb, 52210 Rovinj, Croatia",Enjoy delicious multi-course meals here.
croatian-coast-episode.html,8,3,Croatian Coast,restaurant,BIBICh Winery,"Skradin, Croatia",Great wine paired with amazing meals.
croatian-coast-episode.html,8,3,Croatian Coast,restaurant,Konoba Batelina,"Cimulje 25, Banjole 52100, Croatia",Dine at this authentic konoba.
croatian-coast-episode.html,8,3,Croatian Coast,restaurant,Konoba Mondo,"Barbacan 1, 52424, Motovun, Croatia",Some mouth-watering truffle meals.
cuba-episode.html,7,9,Cuba,hotel,Hotel Nacional de Cuba,"Calle 21 y O, Vedado, Plaza, Havana 10400, Cuba",A hotel with history and great atmosphere.
cuba-episode.html,7,9,Cuba,activity,Estadio Latinoamericano,"Havana, Cuba",Favorite baseball stadium to catch a good game.
cuba-episode.html,7,9,Cuba,restaurant,El Aljibe,"Avenida 7ma, Havana, Cuba",Classic authentic local Cuban cuisine.
cuba-episode.html,7,9,Cuba,restaurant,Paladar Los Amigos,"Calle M, No 253, Havana, Cuba",Unique pre-revolutionary house location.
cuba-episode.html,7,9,Cuba,restaurant,Puerto de Sagua,"Avenue de Belgica, No 603, Havana, Cuba",A good bar with a nautical-themed twist!
cuba-episode.html,7,9,Cuba,restaurant,El Templete,"Avenue Carlos Manuel Cespedes, Havana, Cuba",Give authentic food and dishes a try.
disappearing-manhattan-episode.html,5,8,Disappearing Manhattan,hotel,The French Quarters Guest Apartments,"346 W 46th St, New York, NY 10036",Wonderful neighborhood with great service.
disappearing-manhattan-episode.html,5,8,Disappearing Manhattan,activity,American Museum of Natural History,"Central Park West, New York, NY 10024","Explore Natural History, world famous."
disappearing-manhattan-episode.html,5,8,Disappearing Manhattan,restaurant,Sammy's Roumanian,"157 Chrystie St., New York, NY 10002","Historical Jewish steakhouse, great!"
disappearing-manhattan-episode.html,5,8,Disappearing Manhattan,restaurant,Hop Kee,"21 Mott St., New York, NY 10013",Chinese restaurant keeping it real.
disappearing-manhattan-episode.html,5,8,Disappearing Manhattan,restaurant,Sophie's Bar,"507 E. 5th St., New York, NY 10009",One of the last remaining worthwhile bars.
disappearing-manhattan-episode.html,5,8,Disappearing Manhattan,restaurant,Heidelberg,"1648 Second Ave., New York, NY 10028",Bavarian restaurant opened in 1908.
dominican-republic-episode.html,8,17,Dominican Republic,hotel,Hotel Atarazana,"Calle Vicente Celestino Duarte 19, Santo Domingo, Dominican Republic",Great resort with amazing beaches and food.
dominican-republic-episode.html,8,17,Dominican Republic,activity,Boca Chica Beach,"Boca Chica Beach, Santo Domingo, Dominican Republic",Really gorgeous beach with good food options.
dominican-republic-episode.html,8,17,Dominican Republic,restaurant,Meson de Bari,"Calle Hostos 302, Santo Domingo, Dominican Republic",Local hot spot with live musicians.
dominican-republic-episode.html,8,17,Dominican Republic,restaurant,El Cabito,"Las Galeras, Samana, Dominican Republic",Enjoy a delicious lunch with seafood.
dominican-republic-episode.html,8,17,Dominican Republic,restaurant,Daniel's,"Playa Rincon, Dominican Republic",Grilled seafood that melt in your mouth.
dominican-republic-episode.html,8,17,Dominican Republic,restaurant,Barra Payan,"Avenida 30 de Marzo #140, Santo Domingo, Dominican Republic",Hot sandwiches served for over 50 years!
dominican-republic-episode.html,8,17,Dominican Republic,restaurant,Chimi El Caco,"Calle Cesar Augusto Roque, Santo Domingo, Dominican Republic",Grab the world-famous Chimichurri sandwich.
dominican-republic-episode.html,8,17,Dominican Republic,restaurant,Cacheito's Place,"Avenida Independencia, Santo Domingo, Dominican Republic",Local favorite mashed plantains with salami.
dubai-episode.html,6,19,Dubai,hotel,Burj Al Arab,Jumeirah - Dubai - United Arab Emirates,World's tallest hotel on a man-made island.
dubai-episode.html,6,19,Dubai,activity,Ski Dubai,"Mall of the Emirates, Sheikh Zayed Rd., Dubai, UAE",Ski indoors in the middle of a desert.
dubai-episode.html,6,19,Dubai,restaurant,Al Bait al Baghdadi,"E 66, Dubai, United Arab Emirates",Best place to explore the Baghdadi cuisine.
dubai-episode.html,6,19,Dubai,restaurant,Verre,"Hilton Dubai Creek, 28 B St., Dubai, United Arab Emirates",Owned an operated by the Gordon Ramsay.
dubai-episode.html,6,19,Dubai,restaurant,Ravi Restaurant,"Al Dhiyafa Rd., Dubai, United Arab Emirates","Try the Mutton soup, chops, curry and masala."
dubai-episode.html,6,19,Dubai,restaurant,Bait al Mandi,"Muraqabat, Dubai, United Arab Emirates",Try the popular Yemeni Mandi dish.
ecuador-episode.html,6,6,Ecuador,hotel,Sonesta Hotel Guayaquil,"Joaquin Orrantia Av. and Leopoldo Benitez Street, Guayaquil, Ecuador",Comfortable and located in a good spot.
ecuador-episode.html,6,6,Ecuador,activity,Escuela Taller Quito,"Sebastian de Benalcazar, Quito, Ecuador",Historical district under renovations.
