Antarctica,,,Parts Unknown,9,6,"""Antarctica""",
Canada,Montreal,Qubec,No Reservations,2,4,"""Quebec""","Au Pied de Cochon, 536 East Duluth E, Montréal, Québec, Canada"
Canada,Montreal,Qubec,No Reservations,2,4,"""Quebec""","La Banquise, 994 Rue Rachel Est, Montréal, Québec, Canada"
Canada,Montreal,Qubec,No Reservations,2,4,"""Quebec""","La Maison Du Bagel, 263 Saint Viateur Ouest, Montréal, Québec, Canada"
Canada,Montreal,Qubec,No Reservations,2,4,"""Quebec""","Montréal Culinary Institute, Montréal, Québec, Canada"
Canada,Montreal,Qubec,No Reservations,2,4,"""Quebec""","Montréal, Québec, Canada"
Canada,Marieville,Qubec,No Reservations,2,4,"""Quebec""","Palmex Duck Farm, Marieville, Québec, Canada"
Canada,Montreal,Qubec,No Reservations,2,4,"""Quebec""","Quincaillerie Dante, 6851 Rue Saint Dominique, Montréal, Québec, Canada"
Canada,,Qubec,No Reservations,2,4,"""Quebec""","Sucrerie de la Montagne, 300 Chemin St Georges, Rigaud, Québec, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Cioppino's Mediterranean Grill & Enoteca - 1133 Hamilton St, Vancouver, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","EA Sports Vancouver Campus, Burnaby, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Fitzsimmons Valley, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Gastown, Vancouver, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Japadog, 845 Burrard St., Vancouver, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Rangoli Restaurant, 1480 11th Avenue, Vancouver, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Sooke Harbor House, 1528 Whiffen Spit Rd, Sooke, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Tojo's Restaurant - 1133 W Broadway, Vancouver, British Columbia, Canada"
Canada,Vancouver,British Columbia,No Reservations,4,3,"""Vancouver, BC""","Whistler Mountain, Whistler, British Columbia, Canada"
Canada,Montreal,Quebec,Parts Unknown,1,4,"""Quebec""","Mac's Club Deuce, 222 14th St, Miami Beach, Florida, USA"
Canada,Quebec City,Quebec,Parts Unknown,1,4,"""Quebec""","Pubbelly, 1418 20th St, Miami Beach, Florida, USA"
Canada,St. John's,Newfoundland,Parts Unknown,11,3,"""Newfoundland""","Big R, 69 Harvey Road, St. John's, Newfoundland Canada"
Canada,Petty Harbour,Newfoundland,Parts Unknown,11,3,"""Newfoundland""","Chafe's Landing Restaurant, 11 Main Road, Petty Harbour, Newfoundland, Canada"
Canada,St. John's,Newfoundland,Parts Unknown,11,3,"""Newfoundland""","Raymonds Restaurant , 95 Water Street, St. John's, Newfoundland, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Appetite for Books, 388 Victoria Ave, Westmount, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Beautys Luncheonette, 93 Ave du Mont-Royal Ouest, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Big in Japan, 3723 Boulevard St-Laurent, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Brasserie Capri, 2172 Rue St-Patrick, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Brasserie T, 1425 Rue Jeanne-Mance, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Club Chasse et Peche, 423 Rue Saint-Claude, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Club Social, 180 St-Viateur St W, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Dominion Square Tavern, 1243 Metcalfe, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Gibeau Orange Julep, 7700 Boulevard Décarie, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Joe Beef in Little Burgundy, 2491 Notre Dame W, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","L'Emporte Piece, 418 Rue Gilford, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","L'Express, 3929 Rue Saint-Denis, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","La Fromagerie Atwater, 134, rue Atwater, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Lachine Canal, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Marche Jean-Talon, 7070 Ave Henri Julien, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Marven's, 880 Ball, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Mount Royal Park, 1175 Sherbrooke O, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Nouveau Palais, 281 Rue Bernard Ouest, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Old Montreal, Vieux-Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Rotisserie Romados, 115 Rue Rachel E, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","Schwartz's, 3895 Saint-Laurent Blvd, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","St-Viateur Bagel Shop, 263 St-Viateur West, Montréal, Québec, Canada"
Canada,Montreal,,The Layover,1,6,"""Montreal""","St. Lawrence River, Montréal, Québec, Canada"
Canada,Toronto,,The Layover,2,5,"""Toronto""",No Filming Locations
Chile,Santiago,,No Reservations,5,11,"""Chile""",No Filming Locations
Chile,,Patagonia,No Reservations,5,11,"""Chile""",No Filming Locations
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Bao du Zhang, Shichahai, Xicheng District, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Chengdu, Sichuan Province, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Chinese Culture Club, Liangmaqiao Road, Chaoyang District, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Dave's Oasis, No. 21 Binjiang Zhonglu, Chengdu, Sichuan Province, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Forbidden City, Dongcheng District, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Heming Teahouse, People's Park, Chengdu, Sichuan Province, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Huang Chen Lao Ma, 20, 2nd Ring Rd South, 3rd Section, Chengdu, Sichuan Province, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","HuangLongXi, Sichuan Province, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Jianfu Temple, West Youyi Road, Sichuan Province, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Li Qun Roast Duck Restaurant, 11 Beixiangfeng Hutong, Dongcheng, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","LiuBiJu, Liangshidian Street, Qianmen District, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","No. 3 Hospital of Beijing Medical University, 49 Hua Yuan Bei Lu, Hai Dian District, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Noodle Loft, 33 Guangshun Beidajie, Chaoyang District, Beijing, China"
China,,,No Reservations,2,1,"""Asia Special: China & Japan""","Tiananmen Square, Dongcheng District, Beijing, China"
China,Shanghai,,No Reservations,3,7,"""From Shanghai to Shangri-la""",No Filming Locations
China,,Yunnan,No Reservations,3,7,"""From Shanghai to Shangri-la""",No Filming Locations
China,Hong Kong,,No Reservations,3,12,"""Hong Kong""",No Filming Locations
China,Harbin,,No Reservations,6,8,"""Harbin, China""",
China,,Macau,No Reservations,7,10,"""Macau""",
China,Shanghai,,Parts Unknown,4,2,"""Shanghai""",
China,,Sichuan,Parts Unknown,8,4,"""Sichuan""",
China,Hong Kong,,Parts Unknown,11,5,"""Hong Kong""",
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Aberdeen Fish Market, Aberdeen, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Chan Chi Kee Cutlery - 316-318 Shanghai Street, Yau Ma Tei, Kowloon, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Duk Ling Boat Tour - 128 Gloucester Road, Wan Chai, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Fuk Loi Kui - 4-6 Kei Lung Street, Prince Edward, Kowloon, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Hong Kong International Airport, Chek Lap Kok, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Hong Kong Island, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Hui Lau Shan - 263 Shanghai Street, Yau Ma Tei, Kowloon, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Joy Hing - 265-267 Hennessy Road, Wan Chai, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Kin's Kitchen - 9 Tsing Fung Street, Causeway Bay, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Lamcombe Seafood Restaurant - 47 Main Street, Yung Shue Wan, Lamma Island, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Lamma Island, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Lugard Road, Victoria Peak, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Mak An Kee - 77 Wellington Street, Central, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Mandarin Oriental - 15 Queen's Road, Central, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Mido Café - 63 Temple Street, Yau Ma Tei, Kowloon, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","New Discovery, Central, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Ozone Bar, Ritz-Carlton - 1 Austin Road West, Tsim Sha Tsui, Kowloon, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Racks MDB, 2/F, Winning Centre - 46-48 Wyndham Street, Central, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Simpson Sin Tailor - 15-19 Carnarvon Road, Tsim Sha Tsui, Kowloon, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Sing Heung Yuen - 2 Mee Lun Street, Central, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Tim Ho Wan - 2-8 Kwong Wah Street, Mong Kok, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Tsui Wah - 15-19 Wellington Street, Central, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Tung Po Seafood, Java Road Municipal Services Building - 99 Java Road, North Point, Hong Kong, China"
China,Hong Kong,,The Layover,1,5,"""Hong Kong""","Wan Chai Ferry Pier, Wan Chai, Hong Kong, China"
Colombia,,,No Reservations,4,12,"""Colombia""","Ah! Que Ricura, 1 Plaza Minorista, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Basurto Market, Cartagena, Bolivar, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Bocagrande, Cartagena, Bolívar, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Brasarepa, Envigado, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Cartagena, Bolívar, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Cecelia's, Basurto Market, Cartagena, Bolivar, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Envigado, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Isla De Tierra Bomba, Columbia"
Colombia,,,No Reservations,4,12,"""Colombia""","La Cevicheria, Calle Stuart 7, Cartagena, Bolivar, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","La Queareparaenamorarte, Partida El Retiro, Las Palmas, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Plaza Botero, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Plaza Minorista, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","San Antonio de Pereira, Sahagún, Córdoba, Columbia"
Colombia,,,No Reservations,4,12,"""Colombia""","Santo Domingo Savio, Medellin, Antioquia, Colombia"
Colombia,,,No Reservations,4,12,"""Colombia""","Tierra Bomba, Isla De Tierra Bomba, Columbia"
Colombia,,Andean Region,Parts Unknown,1,3,"""Colombia""","Miami International Airport - 1640 NW 42nd Avenue, Miami, Florida, USA"
Colombia,,Caribbean Natural Region,Parts Unknown,1,3,"""Colombia""","Miami Jai-Alai Fronton - 3500 NW 37th Avenue, Miami, Florida, USA"
Colombia,,Amazon Natural Region,Parts Unknown,1,3,"""Colombia""","Michael's Genuine, 130 NE 40th St, Miami, Florida, USA"
Congo,,,Parts Unknown,1,8,"""Congo""",
Country,City,Provence,Show,Season,Episode,Title,Visit Location
Croatia,,,No Reservations,8,3,"""Croatian Coast""",
Cuba,,,No Reservations,7,9,"""Cuba""",
Cuba,,,Parts Unknown,6,2,"""Cuba""",
Czechia,Prague,,No Reservations,6,4,"""Prague""",
Denmark,Copenhagen,,Parts Unknown,2,5,"""Copenhagen""",
Dominican Republic,,,No Reservations,9,9,"""Dominican Republic""",
Ecuador,Quito,,No Reservations,6,6,"""Ecuador""",
Ecuador,Sangolqui,,No Reservations,6,6,"""Ecuador""",
Ecuador,Puerto Lopez,,No Reservations,6,6,"""Ecuador""",
Ecuador,Guayaquil,,No Reservations,6,6,"""Ecuador""",
Egypt,,,No Reservations,4,18,"""Egypt""",
Ethopia,,,Parts Unknown,6,6,"""Ethiopia""",
Finland,Helsinki,,No Reservations,8,6,"""Finland""",
France,Arcachon,,A Cooks Tour,1,9,Childhood Flavors,
France,Mugron,,A Cooks Tour,1,10,Stuffed Like a Pig,
France,Arcachon,,A Cooks Tour,1,10,Stuffed Like a Pig,
France,,St Martin,A Cooks Tour,2,1,Food Tastes Better with Sand Between Your Toes,
France,Paris,,No Reservations,1,1,"""France: Why the French Don't Suck""",No Filming Locations
France,,Brittany,No Reservations,6,3,"""Brittany""",
France,,Provence,No Reservations,6,9,"""Provence""",
France,Paris,,No Reservations,6,24,"""100th Episode - Paris""",
France,,Burgandy,No Reservations,9,5,"""Burgundy""",
France,Lyon,,Parts Unknown,3,4,"""Lyon""",
France,Marseille,,Parts Unknown,6,3,"""Marseille, France""",
France,,French Alps,Parts Unknown,10,2,"""French Alps""",
France,Paris,,The Layover,2,2,"""Paris""","Septime, 80 Rue de Charonne, Paris, Île-de-France 75011 France"
France,Paris,,The Layover,2,2,"""Paris""","L'Avant-Comptoir, 9 Carrefour de l'Odeon, Paris, Île-de-France 75006 France"
France,Paris,,The Layover,2,2,"""Paris""","Du Pain et des Idées, 34 Rue Yves Toudic, Paris, Île-de-France 75010 France"
France,Paris,,The Layover,2,2,"""Paris""","Paris, Île-de-France, France"
France,Paris,,The Layover,2,2,"""Paris""","Hotel Particulier Montmartre, 23 Avenue Junot, Pavillion D, Paris, Île-de-France 75018 France"
France,Paris,,The Layover,2,2,"""Paris""","Hotel Amour, 8 Rue Navarin, Paris, Île-de-France 75009 France"
France,Paris,,The Layover,2,2,"""Paris""","Saint-Germain-des-Prés, Paris 6, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Au Petit Fer à Cheval, 30 Rue Vieille du Temple, 75004 Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Au Passage, 1 bis, Passage Saint-Sebastien, Paris, Île-de-France 75004 France"
France,Paris,,The Layover,2,2,"""Paris""","Rue Montorgueil, Paris 2, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Café le Dôme - 108 Boulevard de Montparnasse, Paris 15, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Le Baratin, 3 Rue Jouye-Rouve, Paris, Île-de-France 75020 France"
France,Paris,,The Layover,2,2,"""Paris""","La Palette, 43 Rue de Seine, Paris, Île-de-France 75006 France"
France,Paris,,The Layover,2,2,"""Paris""","Camion Qui Fume, Paris, Île-de-France France"
France,Paris,,The Layover,2,2,"""Paris""","Buttes-Chaumont Park, Paris, Île-de-France, France"
France,Paris,,The Layover,2,2,"""Paris""","Notre Dame de Paris, 6 Parvis Notre-Dame, Place Jean-Paul II, 75004 Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Marche Des Enfants Rouges, Le Marais, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Paris Charles de Gaulle Airport, Roissy-en-France, Val-d'Oise, France"
France,Paris,,The Layover,2,2,"""Paris""","Le Pure Cafe - 14 Rue Jean Macé, Paris 11, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Bistrot Paul Bert, 18 Rue Paul Bert, Paris, Île-de-France 75011 France"
France,Paris,,The Layover,2,2,"""Paris""","Paris Métro, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Aux Deux Amis, 45 Rue Oberkampf, Paris, Île-de-France 75011 France"
France,Paris,,The Layover,2,2,"""Paris""","Coquelicot, 24 Rue des Abbesses, 75018 Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Canal Saint-Martin, Paris 10, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Californie Cantine, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Berthillon, 29-31 Rue Saint-Louis en I'lle, Paris, Île-de-France 75004 France"
France,Paris,,The Layover,2,2,"""Paris""","Jardin du Luxembourg, Paris 6, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Restaurant Le Wepler, 14 Place de Clichy, Paris 18, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Urfa Dürüm, 58 Rue du Faubourg Saint-Denis, Paris, Île-de-France 75010 France"
France,Paris,,The Layover,2,2,"""Paris""","E. Dehillerin, 18-20 Rue Coquillière, 75001 Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Shakespeare & Company - 37 Rue de la Bucherie, Paris 5, Paris, France"
France,Paris,,The Layover,2,2,"""Paris""","Le Verre Volé, 67 Rue de Lancry, Paris, Île-de-France 75010 France"
French Polynesia,Tahiti,,No Reservations,3,10,"""French Polynesia""",No Filming Locations
French Polynesia,Marquesas Islands,,No Reservations,3,10,"""French Polynesia""",No Filming Locations
Georgia,Tbilisi,,Parts Unknown,7,6,"""Tbilisi, Georgia""",
Germany,Berlin,,No Reservations,4,2,"""Berlin""",No Filming Locations
Germany,Cologne,,Parts Unknown,7,8,"""Cologne, Germany""",
Germany,Berlin,,Parts Unknown,11,6,"""Berlin""",
Ghana,,,No Reservations,3,2,"""Ghana""","Kumasi, Ashanti, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Nzulezo, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Makola Market, Kojo Thompson Road, Accra, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Labadi Beach, Accra, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Osu Night Market, Basel Street. Accra, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Asanka Local, Accra, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Mole Game Reserve, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Mestay Bar, Nzulezo, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Adanwomase Kente Village, Ghana"
Ghana,,,No Reservations,3,2,"""Ghana""","Beyin, Ghana"
Greece,,,No Reservations,4,4,"""Greek Islands""","Pantheon Restaurant, Heraklia Market, 2 Theodosaki Dirty Alley, Heraklion, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Neoria Seaside Taverna, 5 Akti Enoseos, Chania, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Bougatsa Hanion, Apokoronou 37, Chania, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Alitzarini Restaurant, Koilomenos, Zakynthos, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Chania, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Koilomenos, Zakynthos, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Heraklion, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Heraklia Market, 2 Theodosaki Dirty Alley, Heraklion, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Anogeia, Rethymno, Crete, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Navagio Beach, Zakynthos, Greece"
Greece,,,No Reservations,4,4,"""Greek Islands""","Ionian Islands, Greece"
Greece,,Greek Islands,Parts Unknown,7,4,"""The Greek Islands""",
Haiti,,,No Reservations,7,1,"""Haiti""",
Hungary,Budapest,,Parts Unknown,5,7,"""Budapest""",
Iceland,Reykjavík,,No Reservations,1,2,"""Iceland: Hello Darkness My Old Friend""","Vox Restaurant, Nordica Hilton Hotel, Reykjavík, Iceland"
Iceland,Reykjavík,,No Reservations,1,2,"""Iceland: Hello Darkness My Old Friend""","Þrir Frakkar, Baldursgata, 14, 101 Reykjavik, Iceland"
Iceland,Reykjavík,,No Reservations,1,2,"""Iceland: Hello Darkness My Old Friend""","NLFI Spa and Medical Clinic, Hveragerði, Iceland"
Iceland,Reykjavík,,No Reservations,1,2,"""Iceland: Hello Darkness My Old Friend""","Bæjarins Beztu Pylsur, Reykjavík, Iceland"
Iceland,Reykjavík,,No Reservations,1,2,"""Iceland: Hello Darkness My Old Friend""","Blue Lagoon, Grindavík, Reykjanes, Iceland"
Iceland,Reykjavík,,No Reservations,1,2,"""Iceland: Hello Darkness My Old Friend""","Nordica Hilton Hotel, Reykjavík, Iceland"
India,,Rajasthan,No Reservations,2,9,"""India (Rajasthan)""","Gorbandh Palace, Jaisalmer, Rajasthan, India"
India,,Rajasthan,No Reservations,2,9,"""India (Rajasthan)""","Lake Palace Hotel, Jagniwas Island, Lake Pichola, Udaipur, Rajasthan, India"
India,,Rajasthan,No Reservations,2,9,"""India (Rajasthan)""","Natraj Thali Restaurant, Udaipur, Rajasthan, India"
India,,Rajasthan,No Reservations,2,9,"""India (Rajasthan)""","Udaipur, Rajasthan, India"
